x,y,z,tf
9.238,5.879,1.68,-14.185
8.398,5.879,2.519,-14.289
10.917,5.879,1.68,-14.185
10.078,5.879,2.519,-14.289
8.398,6.718,1.68,-14.185
9.238,7.558,1.68,-14.185
9.238,6.718,2.519,-14.289
8.398,7.558,2.519,-14.289
10.078,6.718,1.68,-14.185
10.917,7.558,1.68,-14.185
10.917,6.718,2.519,-14.289
10.078,7.558,2.519,-14.289
12.597,5.879,0,-9.446
11.757,5.879,0.84,-13.638
13.437,5.879,0.84,-13.638
11.757,6.718,0,-9.446
12.597,7.558,0,-9.446
12.597,6.718,0.84,-13.638
11.757,7.558,0.84,-13.638
13.437,6.718,0,-9.446
13.437,7.558,0.84,-13.638
12.597,5.879,1.68,-14.185
11.757,5.879,2.519,-14.289
13.437,5.879,2.519,-14.289
11.757,6.718,1.68,-14.185
12.597,7.558,1.68,-14.185
12.597,6.718,2.519,-14.289
11.757,7.558,2.519,-14.289
13.437,6.718,1.68,-14.185
13.437,7.558,2.519,-14.289
14.277,5.879,0,-9.446
15.956,5.879,0,-9.446
15.116,5.879,0.84,-13.638
14.277,7.558,0,-9.446
14.277,6.718,0.84,-13.638
15.116,6.718,0,-9.446
15.956,7.558,0,-9.446
15.956,6.718,0.84,-13.638
15.116,7.558,0.84,-13.638
14.277,5.879,1.68,-14.185
15.956,5.879,1.68,-14.185
15.116,5.879,2.519,-14.289
14.277,7.558,1.68,-14.185
14.277,6.718,2.519,-14.289
15.116,6.718,1.68,-14.185
15.956,7.558,1.68,-14.185
15.956,6.718,2.519,-14.289
15.116,7.558,2.519,-14.289
17.636,5.879,0,-9.446
16.796,5.879,0.84,-13.638
19.315,5.879,0,-9.446
18.476,5.879,0.84,-13.638
16.796,6.718,0,-9.446
17.636,7.558,0,-9.446
17.636,6.718,0.84,-13.638
16.796,7.558,0.84,-13.638
18.476,6.718,0,-9.446
19.315,7.558,0,-9.446
19.315,6.718,0.84,-13.638
18.476,7.558,0.84,-13.638
17.636,5.879,1.68,-14.185
16.796,5.879,2.519,-14.289
19.315,5.879,1.68,-14.185
18.476,5.879,2.519,-14.289
16.796,6.718,1.68,-14.185
17.636,7.558,1.68,-14.185
17.636,6.718,2.519,-14.289
16.796,7.558,2.519,-14.289
18.476,6.718,1.68,-14.185
19.315,7.558,1.68,-14.185
19.315,6.718,2.519,-14.289
18.476,7.558,2.519,-14.289
20.995,5.879,0,-9.447
20.155,5.879,0.84,-13.639
21.835,5.879,0.84,-13.639
20.155,6.718,0,-9.447
20.995,7.558,0,-9.447
20.995,6.718,0.84,-13.639
20.155,7.558,0.84,-13.638
21.835,6.718,0,-9.447
21.835,7.558,0.84,-13.639
20.995,5.879,1.68,-14.185
20.155,5.879,2.519,-14.289
21.835,5.879,2.519,-14.29
20.155,6.718,1.68,-14.185
20.995,7.558,1.68,-14.185
20.995,6.718,2.519,-14.289
20.155,7.558,2.519,-14.289
21.835,6.718,1.68,-14.186
21.835,7.558,2.519,-14.29
22.674,5.879,0,-9.447
24.354,5.879,0,-9.447
23.514,5.879,0.84,-13.639
25.194,5.879,0.84,-13.638
22.674,7.558,0,-9.447
22.674,6.718,0.84,-13.639
23.514,6.718,0,-9.447
24.354,7.558,0,-9.446
24.354,6.718,0.84,-13.639
23.514,7.558,0.84,-13.639
25.194,6.718,0,-9.446
25.194,7.558,0.84,-13.638
22.674,5.879,1.68,-14.186
24.354,5.879,1.68,-14.185
23.514,5.879,2.519,-14.289
25.194,5.879,2.519,-14.289
22.674,7.558,1.68,-14.186
22.674,6.718,2.519,-14.29
23.514,6.718,1.68,-14.185
24.354,7.558,1.68,-14.185
24.354,6.718,2.519,-14.289
23.514,7.558,2.519,-14.289
25.194,6.718,1.68,-14.185
25.194,7.558,2.519,-14.289
26.034,5.879,0,-9.446
27.713,5.879,0,-9.446
26.873,5.879,0.84,-13.638
26.034,7.558,0,-9.446
26.034,6.718,0.84,-13.638
26.873,6.718,0,-9.446
27.713,7.558,0,-9.446
27.713,6.718,0.84,-13.638
26.873,7.558,0.84,-13.638
26.034,5.879,1.68,-14.185
27.713,5.879,1.68,-14.185
26.873,5.879,2.519,-14.289
26.034,7.558,1.68,-14.185
26.034,6.718,2.519,-14.289
26.873,6.718,1.68,-14.185
27.713,7.558,1.68,-14.185
27.713,6.718,2.519,-14.289
26.873,7.558,2.519,-14.289
29.393,5.879,0,-9.442
28.553,5.879,0.84,-13.638
30.233,5.879,0.84,-13.61
28.553,6.718,0,-9.446
29.393,7.558,0,-9.442
29.393,6.718,0.84,-13.632
28.553,7.558,0.84,-13.638
30.233,6.718,0,-9.425
30.233,7.558,0.84,-13.61
29.393,5.879,1.68,-14.178
28.553,5.879,2.519,-14.289
30.233,5.879,2.519,-14.255
28.553,6.718,1.68,-14.185
29.393,7.558,1.68,-14.178
29.393,6.718,2.519,-14.282
28.553,7.558,2.519,-14.289
30.233,6.718,1.68,-14.153
30.233,7.558,2.519,-14.255
31.073,5.879,0,-9.36
32.752,5.879,0,-5.952
31.912,5.879,0.84,-13.029
